"","doi_o","doi_r","apa_ref_r"
"11","10.1016/j.cogdev.2010.09.001","10.1093/chidev/aacaf052","Rimol, L. M., Pfuhl, G., Kjelsbøl, S. L., Fiskum, C., Wimbarti, S., Wang, W., & Johannesen, B. O. (2026). Do 9-month-old infants prefer prosocial others? Two conceptual replications and a meta-analysis of the Hamlin &amp; Wynn box opening/closing paradigm. Child Development. https://doi.org/10.1093/chidev/aacaf052"
"12","10.1016/j.jsams.2017.06.007","10.1016/j.jsams.2024.07.018","Byrne, C., Murphy, J., & Warne, J. P. (2024). Replication study: Investigating the effects of maximal anaerobic fatigue on dynamic postural control using the Y-Balance Test. Journal of Science and Medicine in Sport, 27(12), 869–874. https://doi.org/10.1016/j.jsams.2024.07.018"
"13","10.1016/j.jsams.2017.06.007","10.1007/s40279-025-02201-w","Murphy, J., Caldwell, A. R., Mesquida, C., Ladell, A. J. M., Encarnación-Martínez, A., Tual, A., Denys, A., Cameron, B., Van Hooren, B., Parr, B., DeLucia, B., Mason, B. R. J., Clark, B., Egan, B., Brown, C., Ade, C., Sforza, C., Taber, C. B., Kirk, C., … Warne, J. P. (2025). Estimating the Replicability of Sports and Exercise Science Research. Sports Medicine, 55(10), 2659–2679. https://doi.org/10.1007/s40279-025-02201-w"
"14","10.1016/j.obhdp.2006.10.001","10.1177/2515245918810225","Klein, R. A., Vianello, M., Hasselman, F., Adams, B. G., Adams, R. B., Alper, S., Aveyard, M., Axt, J. R., Babalola, M. T., Bahník, Š., Batra, R., Berkics, M., Bernstein, M. J., Berry, D. R., Bialobrzeska, O., Binan, E. D., Bocian, K., Brandt, M. J., Busching, R., … Nosek, B. A. (2018). Many Labs 2: Investigating Variation in Replicability Across Samples and Settings. Advances in Methods and Practices in Psychological Science, 1(4), 443–490. https://doi.org/10.1177/2515245918810225"
"15","10.1016/j.obhdp.2006.10.001","10.1525/collabra.216","Giessner, S. R., & Schubert, T. W. (2019). Power and Vertical Positions in an Organization Chart: A Pre-Registered Replication Report of Study 3a and a Modification of Study 1a, Giessner &amp; Schubert (2007). Collabra: Psychology, 5(1). https://doi.org/10.1525/collabra.216"
"16","10.1017/xps.2017.21","10.1017/xps.2022.35","Azevedo, F., Micheli, L., & Bolesta, D. S. (2023). Does Stereotype Threat Contribute to the Political Knowledge Gender Gap? A Preregistered Replication Study of Ihme and Tausendpfund (2018). Journal of Experimental Political Science, 11(1), 102–113. https://doi.org/10.1017/xps.2022.35"
"17","10.1017/xps.2017.21",NA,"Azevedo, F., Micheli, L., Wagner, D., Tyner, A. H., Miske, O., & Loomas, Z. (2025, November 18). SCORE new data replication of Ihme & Tausendpfund (2017). Retrieved from osf.io/8feku"
"18","10.1037/0022-3514.46.4.778","10.1017/xps.2017.8","Kobayashi, T., Miura, A., & Inamasu, K. (2017). Media Priming Effect: A Preregistered Replication Experiment. Journal of Experimental Political Science, 4(1), 81–94. https://doi.org/10.1017/xps.2017.8"
"19","10.1037/0022-3514.46.4.778","10.1017/xps.2017.8","Kobayashi, T., Miura, A., & Inamasu, K. (2017). Media Priming Effect: A Preregistered Replication Experiment. Journal of Experimental Political Science, 4(1), 81–94. https://doi.org/10.1017/xps.2017.8"
"20","10.1037/0022-3514.54.4.569","10.17605/osf.io/knjhu","Ng Ka Yuk, Ching, K. H., Young, N. A., Feldman, G., Jiaxin Shi, &amp; Aiyer, S. (2021). Outcomes affect evaluations of decision quality: ‎ Replication and extension of Baron and Hershey's (1988) Outcome Bias Experiment 1‎. <i>OSF</i>. https://doi.org/10.17605/OSF.IO/KNJHU"
"21","10.1037/0022-3514.54.4.569","10.5334/irsp.751","Aiyer, S., Kam, H. C., Ng, K. Y., Young, N. A., Shi, J., & Feldman, G. (2023). Outcomes Affect Evaluations of Decision Quality: Replication and Extensions of Baron and Hershey&amp;rsquo;s (1988) Outcome Bias Experiment 1. International Review of Social Psychology, 36(1), 12. https://doi.org/10.5334/irsp.751"
"22","10.1037/0022-3514.67.4.627","10.1525/collabra.35271","Klein, R. A., Cook, C. L., Ebersole, C. R., Vitiello, C., Nosek, B. A., Hilgard, J., Ahn, P. H., Brady, A. J., Chartier, C. R., Christopherson, C. D., Clay, S., Collisson, B., Crawford, J. T., Cromar, R., Gardiner, G., Gosnell, C. L., Grahe, J., Hall, C., Howard, I., … Ratliff, K. A. (2022). Many Labs 4: Failure to Replicate Mortality Salience Effect With and Without Original Author Involvement. Collabra: Psychology, 8(1). https://doi.org/10.1525/collabra.35271"
"23","10.1037/0022-3514.67.4.627","10.1525/collabra.35271","Klein, R. A., Cook, C. L., Ebersole, C. R., Vitiello, C., Nosek, B. A., Hilgard, J., Ahn, P. H., Brady, A. J., Chartier, C. R., Christopherson, C. D., Clay, S., Collisson, B., Crawford, J. T., Cromar, R., Gardiner, G., Gosnell, C. L., Grahe, J., Hall, C., Howard, I., … Ratliff, K. A. (2022). Many Labs 4: Failure to Replicate Mortality Salience Effect With and Without Original Author Involvement. Collabra: Psychology, 8(1). https://doi.org/10.1525/collabra.35271"
"24","10.1037/0022-3514.71.2.230","10.1371/journal.pone.0029081","Doyen, S., Klein, O., Pichon, C.-L., & Cleeremans, A. (2012). Behavioral Priming: It’s All in the Mind, but Whose Mind? PLoS ONE, 7(1), e29081. https://doi.org/10.1371/journal.pone.0029081"
"25","10.1037/0022-3514.71.2.230",NA,"Pashler, H., Harris, C., & Coburn, N.. Elderly-Related Words Prime Slow Walking. (2011, September 15). Retrieved September 23, 2017 from http://www.PsychFileDrawer.org/replication.php?attempt=MTU%3D"
"26","10.1037/0022-3514.73.4.733","10.1177/08902070221094216","Liu, Y., Wang, B., & Van Lange, P. A. M. (2022). The development of social value orientation: Attachment styles, number of siblings, age, and a comparison of measures. European Journal of Personality, 37(4), 402–417. https://doi.org/10.1177/08902070221094216"
"27","10.1037/0022-3514.73.4.733","10.1177/2515245918810225","Klein, R. A., Vianello, M., Hasselman, F., Adams, B. G., Adams, R. B., Alper, S., Aveyard, M., Axt, J. R., Babalola, M. T., Bahník, Š., Batra, R., Berkics, M., Bernstein, M. J., Berry, D. R., Bialobrzeska, O., Binan, E. D., Bocian, K., Brandt, M. J., Busching, R., … Nosek, B. A. (2018). Many Labs 2: Investigating Variation in Replicability Across Samples and Settings. Advances in Methods and Practices in Psychological Science, 1(4), 443–490. https://doi.org/10.1177/2515245918810225"
"28","10.1037/0022-3514.73.4.733","10.1098/rsos.181575","IJzerman, H., & Denissen, J. J. A. (2019). Social value orientation and attachment: a replication and extension of Van Lange<i>et al</i>. (1997). Royal Society Open Science, 6(4), 181575. https://doi.org/10.1098/rsos.181575"
"29","10.1037/0022-3514.94.1.116","10.1177/2515245920958687","Ebersole, C. R., Mathur, M. B., Baranski, E., Bart-Plange, D.-J., Buttrick, N. R., Chartier, C. R., Corker, K. S., Corley, M., Hartshorne, J. K., IJzerman, H., Lazarević, L. B., Rabagliati, H., Ropovik, I., Aczel, B., Aeschbach, L. F., Andrighetto, L., Arnal, J. D., Arrow, H., Babincak, P., … Nosek, B. A. (2020). Many Labs 5: Testing Pre-Data-Collection Peer Review as an Intervention to Increase Replicability. Advances in Methods and Practices in Psychological Science, 3(3), 309–331. https://doi.org/10.1177/2515245920958687"
"30","10.1037/0022-3514.94.1.116","10.1126/science.aac4716","Open Science Collaboration (2015). Estimating the reproducibility of psychological science. Science 349(6251). Individual report available at https://osf.io/xse7q"
"31","10.1037/0022-3514.94.1.16","10.1177/2515245920958687","Ebersole, C. R., Mathur, M. B., Baranski, E., Bart-Plange, D.-J., Buttrick, N. R., Chartier, C. R., Corker, K. S., Corley, M., Hartshorne, J. K., IJzerman, H., Lazarević, L. B., Rabagliati, H., Ropovik, I., Aczel, B., Aeschbach, L. F., Andrighetto, L., Arnal, J. D., Arrow, H., Babincak, P., … Nosek, B. A. (2020). Many Labs 5: Testing Pre-Data-Collection Peer Review as an Intervention to Increase Replicability. Advances in Methods and Practices in Psychological Science, 3(3), 309–331. https://doi.org/10.1177/2515245920958687"
"32","10.1037/0022-3514.94.1.16","10.1126/science.aac4716","Open Science Collaboration (2015). Estimating the reproducibility of psychological science. Science 349(6251). Individual report available at https://osf.io/rc6mv"
"33","10.1037/0022-3514.94.1.48","10.3758/s13423-014-0757-4","Madurski, C., & LeBel, E. P. (2014). Making sense of the noise: Replication difficulties of Correll’s (2008) modulation of 1/f noise in a racial bias task. Psychonomic Bulletin &amp; Review, 22(4), 1135–1141. https://doi.org/10.3758/s13423-014-0757-4"
"34","10.1037/0022-3514.94.1.48","10.1126/science.aac4716","Open Science Collaboration (2015). Estimating the reproducibility of psychological science. Science 349(6251). Individual report available at https://osf.io/fejxb"
"35","10.1037/0022-3514.94.2.94.2.196","10.1126/science.aac4716","Open Science Collaboration (2015). Estimating the reproducibility of psychological science. Science 349(6251). Individual report available at https://osf.io/2gx4k"
"36","10.1037/0022-3514.94.2.94.2.196","10.1098/rsos.231240","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11). https://doi.org/10.1098/rsos.231240 Individual report available at https://osf.io/v3e2z"
"37","10.1037/0022-3514.94.2.94.2.231","10.1098/rsos.231240","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11). https://doi.org/10.1098/rsos.231240"
"38","10.1037/0022-3514.94.2.94.2.231","10.1126/science.aac4716","Open Science Collaboration (2015). Estimating the reproducibility of psychological science. Science 349(6251). Individual report available at https://osf.io/v8vft"
"39","10.1037/0022-3514.94.3.396","10.1098/rsos.231240","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11). https://doi.org/10.1098/rsos.231240"
"40","10.1037/0022-3514.94.3.396","10.1126/science.aac4716","Open Science Collaboration (2015). Estimating the reproducibility of psychological science. Science 349(6251). Individual report available at https://osf.io/79dey"
"41","10.1037/0022-3514.94.3.495","10.1098/rsos.231240","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11). https://doi.org/10.1098/rsos.231240 Individual report available at https://github.com/vboyce/251-254-MA/blob/main/reports/exline2008.docx"
"42","10.1037/0022-3514.94.3.495","10.1126/science.aac4716","Open Science Collaboration (2015). Estimating the reproducibility of psychological science. Science 349(6251). Individual report available at https://osf.io/imrx2"
"43","10.1037/0022-3514.94.4.579","10.1177/2515245920958687","Ebersole, C. R., Mathur, M. B., Baranski, E., Bart-Plange, D.-J., Buttrick, N. R., Chartier, C. R., Corker, K. S., Corley, M., Hartshorne, J. K., IJzerman, H., Lazarević, L. B., Rabagliati, H., Ropovik, I., Aczel, B., Aeschbach, L. F., Andrighetto, L., Arnal, J. D., Arrow, H., Babincak, P., … Nosek, B. A. (2020). Many Labs 5: Testing Pre-Data-Collection Peer Review as an Intervention to Increase Replicability. Advances in Methods and Practices in Psychological Science, 3(3), 309–331. https://doi.org/10.1177/2515245920958687"
"44","10.1037/0022-3514.94.4.579","10.1126/science.aac4716","Open Science Collaboration (2015). Estimating the reproducibility of psychological science. Science 349(6251). Individual report available at https://osf.io/mxryb"
"45","10.1037/0022-3514.94.4.579","10.1177/2515245920916513","IJzerman, H., Ropovik, I., Ebersole, C. R., Tidwell, N. D., Markiewicz, Ł., de Lima, T. J. S., Wolf, D., Novak, S. A., Collins, W. M., Menon, M., de Souza, L. E. C., Sawicki, P., Boucher, L., Białek, M., Idzikowska, K., Razza, T. S., Kraus, S., Weissgerber, S. C., Baník, G., et al. (2020). Many Labs 5: Registered Replication of Förster, Liberman, and Kuschel’s (2008) Study 1. Advances in Methods and Practices in Psychological Science, 3(3), 366–376. https://doi.org/10.1177/2515245920916513"
"46","10.1037/0022-3514.94.4.600","10.1177/2515245920927643","Skorb, L., Aczel, B., Bakos, B. E., Feinberg, L., Hałasa, E., Kauff, M., Kovacs, M., Krasuska, K., Kuchno, K., Manfredi, D., Montealegre, A., Pękala, E., Pieńkosz, D., Ravid, J., Rentzsch, K., Szaszi, B., Schulz-Hardt, S., Sioma, B., Szecsi, P., … Hartshorne, J. K. (2020). Many Labs 5: Replication of van Dijk, van Kleef, Steinel, and van Beest (2008). Advances in Methods and Practices in Psychological Science, 3(3), 418–428. https://doi.org/10.1177/2515245920927643"
"47","10.1037/0022-3514.94.4.600","10.1177/2515245920958687","Ebersole, C. R., Mathur, M. B., Baranski, E., Bart-Plange, D.-J., Buttrick, N. R., Chartier, C. R., Corker, K. S., Corley, M., Hartshorne, J. K., IJzerman, H., Lazarević, L. B., Rabagliati, H., Ropovik, I., Aczel, B., Aeschbach, L. F., Andrighetto, L., Arnal, J. D., Arrow, H., Babincak, P., … Nosek, B. A. (2020). Many Labs 5: Testing Pre-Data-Collection Peer Review as an Intervention to Increase Replicability. Advances in Methods and Practices in Psychological Science, 3(3), 309–331. https://doi.org/10.1177/2515245920958687"
"48","10.1037/0022-3514.94.4.600","10.1126/science.aac4716","Open Science Collaboration (2015). Estimating the reproducibility of psychological science. Science 349(6251). Individual report available at https://osf.io/xtsq6"
"49","10.1037/0022-3514.95.1.76","10.1098/rsos.231240","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11). https://doi.org/10.1098/rsos.231240"
"50","10.1037/0022-3514.95.1.76","10.1126/science.aac4716","Open Science Collaboration (2015). Estimating the reproducibility of psychological science. Science 349(6251). Individual report available at https://osf.io/pz0my"
"51","10.1037/0022-3514.95.2.293","10.1177/2515245918810225","Klein, R. A., Vianello, M., Hasselman, F., Adams, B. G., Adams, R. B., Alper, S., Aveyard, M., Axt, J. R., Babalola, M. T., Bahník, Š., Batra, R., Berkics, M., Bernstein, M. J., Berry, D. R., Bialobrzeska, O., Binan, E. D., Bocian, K., Brandt, M. J., Busching, R., … Nosek, B. A. (2018). Many Labs 2: Investigating Variation in Replicability Across Samples and Settings. Advances in Methods and Practices in Psychological Science, 1(4), 443–490. https://doi.org/10.1177/2515245918810225"
"52","10.1037/0022-3514.95.2.293","10.1177/2515245920958687","Ebersole, C. R., Mathur, M. B., Baranski, E., Bart-Plange, D.-J., Buttrick, N. R., Chartier, C. R., Corker, K. S., Corley, M., Hartshorne, J. K., IJzerman, H., Lazarević, L. B., Rabagliati, H., Ropovik, I., Aczel, B., Aeschbach, L. F., Andrighetto, L., Arnal, J. D., Arrow, H., Babincak, P., … Nosek, B. A. (2020). Many Labs 5: Testing Pre-Data-Collection Peer Review as an Intervention to Increase Replicability. Advances in Methods and Practices in Psychological Science, 3(3), 309–331. https://doi.org/10.1177/2515245920958687"
"53","10.1037/0022-3514.95.2.293","10.1098/rsos.231240","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11). https://doi.org/10.1098/rsos.231240 Individual report available at https://github.com/vboyce/251-254-MA/blob/main/reports/risen2008.docx"
"54","10.1037/0022-3514.95.2.293","10.1126/science.aac4716","Open Science Collaboration (2015). Estimating the reproducibility of psychological science. Science 349(6251). Individual report available at https://osf.io/sg3su"
"55","10.1037/0096-3445.136.2.241","10.1037/a0024587","Healey, M. K., Hasher, L., & Danilova, E. (2011). The stability of working memory: Do previous tasks influence complex span? Journal of Experimental Psychology: General, 140(4), 573–585. https://doi.org/10.1037/a0024587"
"56","10.1037/0096-3445.136.2.241","10.1371/journal.pone.0147770","Lurquin, J. H., Michaelson, L. E., Barker, J. E., Gustavson, D. E., von Bastian, C. C., Carruth, N. P., & Miyake, A. (2016). No Evidence of the Ego-Depletion Effect across Task Characteristics and Individual Differences: A Pre-Registered Study. PLOS ONE, 11(2), e0147770. https://doi.org/10.1371/journal.pone.0147770"
"57","10.1037/0278-7393.34.1.146","10.1098/rsos.231240","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11). https://doi.org/10.1098/rsos.231240 Individual report available at https://github.com/vboyce/251-254-MA/blob/main/reports/morris2008.pdf"
"58","10.1037/0278-7393.34.1.146","10.1126/science.aac4716","Open Science Collaboration (2015). Estimating the reproducibility of psychological science. Science 349(6251). Individual report available at https://osf.io/rmvk5"
"59","10.1037/a0012833","10.1177/2515245920958687","Ebersole, C. R., Mathur, M. B., Baranski, E., Bart-Plange, D.-J., Buttrick, N. R., Chartier, C. R., Corker, K. S., Corley, M., Hartshorne, J. K., IJzerman, H., Lazarević, L. B., Rabagliati, H., Ropovik, I., Aczel, B., Aeschbach, L. F., Andrighetto, L., Arnal, J. D., Arrow, H., Babincak, P., … Nosek, B. A. (2020). Many Labs 5: Testing Pre-Data-Collection Peer Review as an Intervention to Increase Replicability. Advances in Methods and Practices in Psychological Science, 3(3), 309–331. https://doi.org/10.1177/2515245920958687"
"60","10.1037/a0012833","10.1126/science.aac4716","Open Science Collaboration (2015). Estimating the reproducibility of psychological science. Science 349(6251). Individual report available at https://osf.io/rgm6p"
"61","10.1037/a0012833","10.1126/science.aac4716","Open Science Collaboration (2015). Estimating the reproducibility of psychological science. Science 349(6251). Individual report available at https://osf.io/vy1bc"
"62","10.1037/a0012833","10.1098/rsos.231240","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11). https://doi.org/10.1098/rsos.231240 Individual report available at https://osf.io/yt5q8/"
"63","10.1037/a0012833","10.1177/2515245920925750","Corker, K. S., Arnal, J. D., Bonfiglio, D. B. V., Curran, P. G., Chartier, C. R., Chopik, W. J., Guadagno, R. E., Kimbrough, A. M., Schmidt, K., & Wiggins, B. J. (2020). Many Labs 5: Registered Replication of Albarracín et al. (2008), Experiment 7. Advances in Methods and Practices in Psychological Science, 3(3), 340–352. https://doi.org/10.1177/2515245920925750"
"64","10.1037/a0021524","10.1177/1745691612463078","Wagenmakers, E.-J., Wetzels, R., Borsboom, D., van der Maas, H. L. J., & Kievit, R. A. (2012). An Agenda for Purely Confirmatory Research. Perspectives on Psychological Science, 7(6), 632–638. https://doi.org/10.1177/1745691612463078"
"65","10.1037/a0021524",NA,NA
"66","10.1037/a0021524","10.1371/journal.pone.0033423","Ritchie, S. J., Wiseman, R., & French, C. C. (2012). Failing the Future: Three Unsuccessful Attempts to Replicate Bem’s ‘Retroactive Facilitation of Recall’ Effect. PLoS ONE, 7(3), e33423. https://doi.org/10.1371/journal.pone.0033423"
"67","10.1037/a0021524","10.1371/journal.pone.0335330","Walleczek, J., von Stillfried, N., Schmidt, S., Wittmann, M., Kirmse, K. A., Moll, J., & Kekecs, Z. (2025). Metascientific replication project with the advanced meta-experimental protocol of the transparent psi project procedures for testing the precognitive effect claimed by Bem. PLOS One, 20(11), e0335330. https://doi.org/10.1371/journal.pone.0335330"
"68","10.1037/a0021524","10.1037/cns0000005","Barušs, I., & Rabier, V. (2014). Failure to replicate retrocausal recall. Psychology of Consciousness: Theory, Research, and Practice, 1(1), 82–91. https://doi.org/10.1037/cns0000005"
"69","10.1037/a0021524","10.31275/20211903","Schlitz, M., Bem, D., David, Cardena, E., Lyke, J., Grover, R., Blackmore, S., Tressoldi, P., Roney-Dougal, S., Bierman, D., Jolij, J., Lobach, E., Hartelius, G., & Delorme, A. (2021). Two Replication Studies of a Time-Reversed (Psi) Priming Task and the Role of Expectancy in Reaction Times. Journal of Scientific Exploration, 35(1), 65–90. https://doi.org/10.31275/20211903"
"70","10.1037/a0023527","10.1037/a0036079","Donnellan, M. B., Lucas, R. E., & Cesario, J. (2015). On the association between loneliness and bathing habits: Nine replications of Bargh and Shalev (2012) Study 1. Emotion, 15(1), 109–119. https://doi.org/10.1037/a0036079"
"71","10.1037/a0023527","10.1037/arc0000007","Wortman, J., Donnellan, M. B., & Lucas, R. E. (2014). Can physical warmth (or coldness) predict trait loneliness? A replication of Bargh and Shalev (2012). Archives of Scientific Psychology, 2(1), 13–19. https://doi.org/10.1037/arc0000007"
"72","10.1037/a0023527",NA,"Ferrell, J. D., Gosling, S. D., & Donnellan, M. B. Showering and loneliness: Participants from the University of Texas, Austin. https://drive.google.com/file/d/1XsfKzqBh-rbhyVubt-56zgPU_Ak2yFU6"
"73","10.1037/a0027598","10.1037/xge0000090","Pecher, D., van Mierlo, H., Cañal-Bruland, R., & Zeelenberg, R. (2015). The burden of secrecy? No effect on hill slant estimation and beanbag throwing. Journal of Experimental Psychology: General, 144(4), e65–e72. https://doi.org/10.1037/xge0000090"
"74","10.1037/a0027598","10.3758/s13423-013-0549-2","LeBel, E. P., & Wilbur, C. J. (2013). Big secrets do not necessarily cause hills to appear steeper. Psychonomic Bulletin &amp; Review, 21(3), 696–700. https://doi.org/10.3758/s13423-013-0549-2"
"75","10.1037/a0029288","10.1027/1864-9335/a000178","Klein, R. A., Ratliff, K. A., Vianello, M., Adams, R. B., Bahník, Š., Bernstein, M. J., Bocian, K., Brandt, M. J., Brooks, B., Brumbaugh, C. C., Cemalcilar, Z., Chandler, J., Cheong, W., Davis, W. E., Devos, T., Eisner, M., Frankowska, N., Furrow, D., Galliani, E. M., … Nosek, B. A. (2014). Investigating Variation in Replicability. Social Psychology, 45(3), 142–152. https://doi.org/10.1027/1864-9335/a000178 Individual report available at https://osf.io/y36m8"
"76","10.1037/a0029288","10.1037/xge0000058","Rohrer, D., Pashler, H., & Harris, C. R. (2015). Do subtle reminders of money change people’s political views? Journal of Experimental Psychology: General, 144(4), e73–e85. https://doi.org/10.1037/xge0000058"
"77","10.1037/a0029395","10.1037/pspa0000444","Mayiwar, L., Løhre, E., Chandrashekar, S. P., & Hærem, T. (2025). Desire for status is positively associated with overconfidence: A replication and extension of study 5 in C. Anderson, Brion, et al. (2012). Journal of Personality and Social Psychology. https://doi.org/10.1037/pspa0000444"
"78","10.1037/a0029395","10.31234/osf.io/fyx9c_v1","Mayiwar, L., Løhre, E., Chandrashekar, S. P., & Hærem, T. (2025). Desire for Status Is Positively Associated With Overconfidence: A Replication and Extension of Study 5 in C. Anderson, Brion, et al. (2012). https://doi.org/10.31234/osf.io/fyx9c_v1"
"79","10.1037/h0055756",NA,"Pavlović, Z. (2023, April 8). First impression replication study (Asch, 1945, Experiment 1)."
"80","10.1037/h0055756","10.1177/1948550618771003","Sullivan, J. (2018). The Primacy Effect in Impression Formation: Some Replications and Extensions. Social Psychological and Personality Science, 10(4), 432–439. https://doi.org/10.1177/1948550618771003"
"81","10.1037/h0055756","10.1027/1864-9335/a000179","Nauts, S., Langner, O., Huijsmans, I., Vonk, R., & Wigboldus, D. H. J. (2014). Forming Impressions of Personality. Social Psychology, 45(3), 153–163. https://doi.org/10.1027/1864-9335/a000179"
"82","10.1038/nature11467","10.1038/s41562-018-0399-z","Camerer, C. F., Dreber, A., Holzmeister, F., Ho, T.-H., Huber, J., Johannesson, M., Kirchler, M., Nave, G., Nosek, B. A., Pfeiffer, T., Altmejd, A., Buttrick, N., Chan, T., Chen, Y., Forsell, E., Gampa, A., Heikensten, E., Hummer, L., Imai, T., … Wu, H. (2018). Evaluating the replicability of social science experiments in Nature and Science between 2010 and 2015. Nature Human Behaviour, 2(9), 637–644. https://doi.org/10.1038/s41562-018-0399-z Individual report available at https://osf.io/szcuk"
"83","10.1038/nature11467","10.1177/1745691617693624","Bouwmeester, S., Verkoeijen, P. P. J. L., Aczel, B., Barbosa, F., Bègue, L., Brañas-Garza, P., Chmura, T. G. H., Cornelissen, G., Døssing, F. S., Espín, A. M., Evans, A. M., Ferreira-Santos, F., Fiedler, S., Flegr, J., Ghaffari, M., Glöckner, A., Goeschl, T., Guo, L., Hauser, O. P., … Wollbrant, C. E. (2017). Registered Replication Report: Rand, Greene, and Nowak (2012). Perspectives on Psychological Science, 12(3), 527–542. https://doi.org/10.1177/1745691617693624"
